SiteSystem_Name,SiteSystem_Description,SiteSystem_HoursOfOperation,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_SiteAddressus_notes,SiteAddressus_SiteAddressus_latitude,SiteAddressus_SiteAddressus_longitude,SiteSystem_Websiteurl,SiteCustom_Phone1,SiteCustom_Phone1Type
Eagle Creek Church Of Christ,"A church with worship services and charitable outreach, including a food pantry.",Sun 9:30am-7pm; Wed 7pm-9pm,3025 WEST 69TH STREET,,INDIANAPOLIS,MARION,IN,46268,US,,39.8800849,-86.2081067,,317-253-5530,
Crooked Creek Food Pantry,,,6940 North Michigan Road,,Indianapolis,Marion,IN,46268,US,,39.8816853,-86.2117875,www.crookedcreekfp.org,,
Second Presbyterian Church,A church providing community outreach including a food pantry.,Mon-Fri 8:30am-4:30pm,7700 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46260,US,,39.895065,-86.1590175,www.secondchurch.org,317-253-6461,
Trinity Episcopal Church,"A church offering worship services and charitable outreach programs, including a community meal.",Mon-Fri 9am-4pm Summer Hours: Mon-Thurs 9am-4pm; Fri 9am-noon,3243 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46208,US,,39.8152949,-86.156182,www.trinitychurchindy.org,317-926-1346,
Trinity Outreach Center,"A church offering worship services and charitable outreach programs, including a community meal.",Mon-Fri 9am-4pm Summer Hours: Mon-Thurs 9am-4pm; Fri 9am-noon,3333 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46208,US,,39.81649,-86.1563061,www.trinitychurchindy.org,317-926-5066,
David S. Moore Food Pantry,A volunteer organization offering a community food pantry and clothing to people in need.,Vary,930 PROSPECT STREET,,INDIANAPOLIS,MARION,IN,46203,US,,39.7524528,-86.1421202,,317-731-2124,
Deliverance Temple,A church providing worship services and outreach ministries including a food pantry.,,8600 MEADOWLARK DRIVE,,INDIANAPOLIS,MARION,IN,46226,US,,39.8376915,-86.0154658,,317-895-9787,
Augusta Christian Church/Powerhouse International Ministries,,,3445 West 71st Street,,Indianapolis,Marion,IN,46268,US,,39.881054,-86.218266,www.powerhouseinternational.org,,
EASTERN STAR CHURCH,,,5750 East 30th Street,,Indianapolis,Marion,IN,46218,US,,39.8122628,-86.0696425,www.easternstarchurch.org,,
Eastern Star Care Center,,,5719 Massachusetts Avenue,,Indianapolis,Marion,IN,46218,US,,39.8158986,-86.0699443,www.easternstarchurch.org,,
Decatur Township Metropolitan School District,,,5275 Kentucky Avenue,,Indianapolis,Marion,IN,46221,US,,39.6864815,-86.2770771,www.decaturproud.org,,
Stephen Decatur Elementary School,,,3425 South Foltz Street,,Indianapolis,Marion,IN,46221,US,,39.7122024,-86.2289745,http://msddecatur.k12.in.us,,
Valley Mills Elementary,,,5101 South High School Road,,Indianapolis,Marion,IN,46221,US,,39.6894622,-86.2684825,http://msddecatur.k12.in.us,,
Blue/Gold Academy Elementary,,,5650 Mann Road,,Indianapolis,Marion,IN,46221,US,,39.6823993,-86.248207,http://msddecatur.k12.in.us,,
Lawrence Township Hunger Coalition,A nonprofit agency providing food to people in Lawrence Township of Marion County.,Wed 10am-4pm and 6pm-8pm; Fri 10am-4pm,7101 PENDLETON PIKE,,INDIANAPOLIS,MARION,IN,46226,US,,39.8276727,-86.044157,www.ecommunity.com/locations/community-cupboard-lawrence,317-355-7395,
Zion Tabernacle Apostolic Faith Church,"A church offering worship services and charitable outreach programs, including a food pantry.",Mon-Fri 10am-3pm,4007 NORTH SHERMAN DRIVE,,INDIANAPOLIS,MARION,IN,46226,US,,39.8294494,-86.1024811,www.ztac.org,317-545-1797,
Gleaners Food Bank Of Indiana,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,,3737 WALDEMERE AVENUE,,INDIANAPOLIS,MARION,IN,46241,US,,39.7107011,-86.2605341,www.gleaners.org,317-925-0191,
Cynthia H. Hubert Community Cupboard At Gleaners Food Bank,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,,3737 WALDEMERE AVENUE,,INDIANAPOLIS,MARION,IN,46241,US,"Waldemere Ave. is off west Hanna Ave, which is off of Kentucky Ave. Hanna Ave is between Lynhurst and 465. Pantry is located on the southwest side of the Gleaners Food Bank building",39.7107011,-86.2605341,www.gleaners.org,,
CARE Mobile Food Pantry - Michigan Street Kroger,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 4-Aug 20, 2019, Tues 4pm-6pm",2630 WEST MICHIGAN STREET,,INDIANAPOLIS,MARION,IN,46222,US,,39.7757034,-86.2045895,www.gleaners.org/programs/care-mobile-pantry,317-829-1800,Recorded Information
Care Mobile Food Pantry - Fervent Prayer Church,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 8-Aug 24, 2019 Sat 10am-noon",10512 EAST 38TH STREET,,INDIANAPOLIS,MARION,IN,46235,US,38th Street Between Mitthoeffer Road and German Church Road,39.8266098,-85.9812039,www.gleaners.org/programs/care-mobile-pantry,317-829-1800,Recorded Information
CARE Mobile Food Pantry - Save-A-Lot,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 5-Aug 21, 2019, Wed 4pm-6pm",3739 EAST WASHINGTON STREET,,INDIANAPOLIS,MARION,IN,46201,US,Washington Street and Sherman Drive,39.7671272,-86.103123,www.gleaners.org/programs/care-mobile-pantry,317-829-1800,Recorded Information
Care Mobile Food Pantry - Christ Our King Christian Church,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 6-Aug 22, 2019 Thurs 4pm-6pm",2701 NORTH CALIFORNIA STREET,,INDIANAPOLIS,MARION,IN,46208,US,West 27th and Dr. Martin Luther King Jr. St.,39.8054605,-86.1698907,www.gleaners.org/programs/care-mobile-pantry,317-829-1800,Recorded Information
Care Mobile Food Pantry - Mount Zion Apostolic Church,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 3-Aug 19, 2019, Mon 4pm-6pm",4900 EAST 38TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.826105,-86.0877391,www.gleaners.org/programs/care-mobile-pantry,,
CARE Mobile Food Pantry - North United Methodist Church,A nonprofit agency providing food to hunger-relief partners throughout the state and providing access to those in need.,"June 8-Aug 24, 2019, Sat 10am-noon",3808 NORTH MERIDIAN STREET,,INDIANAPOLIS,MARION,IN,46208,US,,39.8254194,-86.1577684,www.gleaners.org/programs/care-mobile-pantry,317-829-1800,Recorded Information
Northside Baptist Church,"A church with worship services and charitable outreach to the community, including a food pantry.",Mon-Fri 9:30am-5pm,3021 EAST 71ST STREET,,INDIANAPOLIS,MARION,IN,46220,US,,39.8823671,-86.1132293,www.northsideindy.org,317-255-6692,
Lynhurst Baptist Church Community Center,A faith-based agency providing outreach in the community including a food pantry.,Mon-Fri noon-6pm,709 SOUTH LYNHURST DRIVE,,INDIANAPOLIS,MARION,IN,46241,US,,39.7561645,-86.2495676,,,
Faith United Church of Christ,"A church offering worship services and charitable outreach programs, including a food pantry.",Mon-Thurs 9am-1pm,4040 THOMPSON ROAD,,INDIANAPOLIS,MARION,IN,46237,US,,39.6944371,-86.0973528,www.myfaithucc.org,317-784-4856,
Zion Hill Missionary Baptist Church,"A church with worship services and charitable outreach, including a food pantry.",Vary,1610 EAST 19TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.7925398,-86.1312358,www.zionhillmbc.org,317-631-1543,
Bethel Family Worship Center,,,24 SOUTH LYNHURST DRIVE,,INDIANAPOLIS,MARION,IN,46241,US,,39.763418,-86.251164,www.bfwc.net,317-244-5835,
Westside Church Of The Nazarene,,,8610 WEST 10TH STREET,,INDIANAPOLIS,MARION,IN,46234,US,,39.7798449,-86.3133501,,,
Capitol City Seventh-Day Adventist Church,"A church offering worship services and charitable outreach programs, including a food pantry.",Vary,1801 EAST 49TH STREET,,INDIANAPOLIS,MARION,IN,46205,US,,39.8426813,-86.1297712,www.capitolcity.lakeunion.org,317-251-1053,
Capitol City Seventh-Day Adventist Church - Food Pantry,"A church offering worship services and charitable outreach programs, including a food pantry.",Mon and Tues 10am-1pm,4731 KINGSLEY DRIVE,,INDIANAPOLIS,MARION,IN,46205,US,,39.8424525,-86.1300522,www.capitolcity.lakeunion.org,317-251-1053,
Mount Olive Missionary Baptist Church,,Mon-Fri 10am-2pm,1003 WEST 16TH STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7878981,-86.1793878,www.jmeshackj1.wixsite.com/mtoliveindy,317-634-9178,
Fleming Garden Christian Church,"A church offering worship services and charitable outreach programs, including a food pantry.",Mon-Fri 9am-1pm,530 SOUTH TAFT AVENUE,,INDIANAPOLIS,MARION,IN,46241,US,,39.7583911,-86.2357266,www.fleminggardencc.org,317-244-8030,
First Church Of The Nazarene,"A church offering worship services and charitable outreach programs, including a food pantry.",Mon-Fri 9am-4pm,9401 EAST 25TH STREET,,INDIANAPOLIS,MARION,IN,46229,US,,39.8025605,-86.0017252,www.indynaz.org,317-897-7700,
Masjid Al Mumineen,,,4088 Millersville Road,,Indianapolis,Marion,IN,46205,US,,39.8303991,-86.120927,www.masjidmumineen.com,,
Barnes United Methodist Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Thurs 9am-5pm,900 WEST 30TH STREET,,INDIANAPOLIS,MARION,IN,46208,US,,39.8104579,-86.1765269,www.barnesumcindy.org,317-923-9197,
New Direction Church,"A church with worship services and charitable outreach, including a food pantry.",Mon-Fri 9am-5pm,5330 EAST 38TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8260125,-86.0781672,www.ndcbetterlife.org,317-544-8622,
Wes Montgomery Park,"A church with worship services and charitable outreach, including a food pantry.",Mon-Fri 9am-5pm,3400 NORTH HAWTHORNE LANE,,INDIANAPOLIS,MARION,IN,46218,US,,39.8184318,-86.0784894,www.ndcbetterlife.org,317-544-8622,
Trinity Lutheran,,,8540 East 16th Street,,Indianapolis,Marion,IN,46219,US,,39.7908698,-86.0162407,www.trinityindy.org,,
New Vision Missionary Baptist Church,,,4501 Fletcher Avenue,,Indianapolis,Marion,IN,46203,US,,39.7581171,-86.0920994,,,
Mount Nebo Missionary Baptist Church,,,2325 HOVEY STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8002659,-86.1318686,,317-924-2737,
"New Vision Ministries, Inc.",,,2056 East 32nd Street,,Indianapolis,Marion,IN,46218,US,,39.8146203,-86.1257462,www.nvminc.org,,
Helpers Helping Others Outreach Team (HHOOT),"A nonprofit agency offering support services, including hot meals and haircuts for veterans, ex-offenders, and people who are homeless.",Mon-Fri 8am-5pm,2457 EAST WASHINGTON STREET,Suite F,INDIANAPOLIS,MARION,IN,46201,US,,39.7672775,-86.1195604,www.indianahelpers.com,317-635-0500,
Helpers Helping Others Outreach Team,"A nonprofit agency offering support services, including hot meals and haircuts for veterans, ex-offenders, and people who are homeless.",Mon-Fri 8am-5pm,918 EAST MICHIGAN STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7740323,-86.1412435,www.indianahelpers.com,317-635-0500,
Sunrise Missionary Baptist Church,"A church providing worship services and charitable outreach, including hot meals to people in need.",Vary,1831 BELLEFONTAINE STREET,,INDIANAPOLIS,MARION,IN,46202,US,,39.7920066,-86.1419853,www.sunrisebaptistindy.org,317-902-8529,
"National Christian Outreach, Compassion Center",Faith-based organization that provides a soup kitchen.,Vary,2616 SHELBY STREET,,INDIANAPOLIS,MARION,IN,46203,US,,39.7295033,-86.139829,,317-626-0387,
Cityview Christian Center,"A church providing charitable outreach, including meals to homeless men and women, at risk children and teens, and those struggling with substance abuse.",Vary; voicemail available,1090 WEST 23RD STREET,,INDIANAPOLIS,MARION,IN,46208,US,,39.800351,-86.1806195,www.indycityview.com,317-916-9907,
Walk By Faith Christian Ministries,,,3709 SHADELAND AVENUE,,INDIANAPOLIS,MARION,IN,46226,US,,39.8238459,-86.0449537,,,
One Body Ministries,"A church with worship services and charitable outreach, including a food pantry.",Vary,3132 CARSON AVENUE,,INDIANAPOLIS,MARION,IN,46227,US,,39.7206369,-86.134952,www.facebook.com/OneBodyMinistriesInc,317-786-4316,
One Body Ministries Pantry,"A church with worship services and charitable outreach, including a food pantry.","Monthly 4th Mon 6pm-8pm       * Except in Nov and Dec, open Monthly 3rd Mon 6pm-8pm",1238 SOUTH PERRY STREET,,INDIANAPOLIS,MARION,IN,46227,US,,39.7206597,-86.1356003,www.facebook.com/OneBodyMinistriesInc,317-786-4316,Church Office
Bridgeport Central Baptist Church,,,9039 West Washington Street,,Indianapolis,Marion,IN,46231,US,,39.7301894,-86.3206808,,,
Indianapolis Muslim Community Association,,,2846 Cold Spring Road,,Indianapolis,Marion,IN,46222,US,,39.8074691,-86.2042149,,,
The Rock Missionary Baptist Church,"A church with worship services and charitable outreach, including a community meal, food and clothing pantry.",Vary,10302 EAST 38TH STREET,,INDIANAPOLIS,MARION,IN,46235,US,,39.82825,-85.985777,,,
Hawthorne Community Center,,,70 North Mount Street,,Indianapolis,Marion,IN,46222,US,,39.7676962,-86.2017526,www.hawthornecenter.org,,
Hawthorne Community Center - Ohio Street Facility,,,2440 West Ohio Street,,Indianapolis,Marion,IN,46222,US,,39.7685932,-86.2021695,www.hawthornecenter.org,,
Goodwin Community Center,,,3935 Mooresville Road,,Indianapolis,Marion,IN,46221,US,,39.7127286,-86.2277184,www.goodwincenter.org,,
Hawthorne Senior Center At Retreat On Washington,,,2950 Kirkbride Way,,Indianapolis,Marion,IN,46222,US,,39.7688298,-86.2129002,,,
Haughville Branch Library,,,2121 West Michigan Street,,Indianapolis,Marion,IN,46222,US,,39.7743849,-86.1974533,,,
Hunger Inc.,,,1416 East Epler Avenue,,Indianapolis,Marion,IN,46227,US,,39.6872272,-86.135899,www.hungerinc.org,,
Indiana Department of Natural Resources,,,"402 West Washington Street, W160A",,Indianapolis,Marion,IN,46204,US,,39.767889,-86.1658773,www.in.gov/dnr,,
Indiana Department of Natural Resources - Division of Historic Preservation And Archaeology,,,"402 West Washington Street, W274",,Indianapolis,Marion,IN,46204,US,,39.7680056,-86.1652564,www.in.gov/dnr/historic,,
Thatcher Park,,,4649 West Vermont Street,,Indianapolis,Marion,IN,46224,US,,39.771222,-86.238673,www.indygov.org/eGov/City/DPR,,
Indianapolis Department Of Parks And Recreation,,,"200 East Washington Street, Suite 2301",,Indianapolis,Marion,IN,46204,US,,39.7679081,-86.1531573,www.indygov.org,,
Southeastway Park,,,5624 South Carroll Road,,New Palestine,Marion,IN,46163,US,,39.6860757,-85.9572775,www.indygov.org/eGov/City/DPR,,
Christian Park And Family Center,,,4200 English Avenue,,Indianapolis,Marion,IN,46201,US,,39.76094,-86.095197,www.indygov.org/eGov/City/DPR,,
Brookside Park And Family Center,,,3500 Brookside Parkway South Drive,,Indianapolis,Marion,IN,46201,US,,39.7897185,-86.1070623,www.indygov.org/eGov/City/DPR,,
Watkins Park And Family Center,,,2360 Martin Luther King Jr. Drive,,Indianapolis,Marion,IN,46208,US,,39.8003102,-86.1712997,www.indygov.org/eGov/City/DPR,,
Douglass Park And Family Center,,,1616 East 25th Street,,Indianapolis,Marion,IN,46218,US,,39.8036833,-86.131556,www.indygov.org/eGov/City/DPR,,
Garfield Park And Burrello Family Center,,,2345 Pagoda Drive,,Indianapolis,Marion,IN,46203,US,,39.734213,-86.149715,www.indygov.org/eGov/City/DPR,,
Broad Ripple Park And Family Center,,,1550 Broad Ripple Avenue,,Indianapolis,Marion,IN,46220,US,,39.869868,-86.1331122,www.indygov.org/eGov/City/DPR,,
Ellenberger Park,,,5301 East Saint Clair Street,,Indianapolis,Marion,IN,46219,US,,39.776551,-86.0766639,www.indygov.org/eGov/City/DPR,,
Bethel Park And Family Center,,,2850 Bethel Avenue,,Indianapolis,Marion,IN,46203,US,,39.744023,-86.114682,www.indygov.org/eGov/City/DPR,,
Krannert Park,,,605 South High School Road,,Indianapolis,Marion,IN,46241,US,,39.7569774,-86.2667256,www.indygov.org/eGov/City/DPR,,
Northwestway Park,,,5253 West 62nd Street,,Indianapolis,Marion,IN,46254,US,,39.8661339,-86.2502861,www.indygov.org/eGov/City/DPR,,
Riverside Park And Family Center,,,2420 East Riverside Drive,,Indianapolis,Marion,IN,46208,US,,39.8016824,-86.1930541,www.indygov.org/eGov/City/DPR,,
Perry Park,,,451 East Stop 11 Road,,Indianapolis,Marion,IN,46227,US,,39.6506607,-86.1502698,www.indygov.org/eGov/City/DPR,,
Sahm Park,,,68001 East 91st Street,,Indianapolis,Marion,IN,46250,US,,39.919747,-86.0587989,www.indygov.org/eGov/City/DPR,,
Jtv Hill Park,,,1806 North Columbia Avenue,,Indianapolis,Marion,IN,46202,US,,39.7913221,-86.1370944,www.indygov.org/eGov/City/DPR,,
Windsor Village Park And Family Center,,,6510 East 25th Street,,Indianapolis,Marion,IN,46219,US,,39.8042603,-86.0546731,www.indygov.org/eGov/City/DPR,,
Eagle Creek Park,,,7840 West 56th Street,,Indianapolis,Marion,IN,46254,US,,39.854587,-86.300089,www.indygov.org/eGov/City/DPR,,
Holliday Park,,,6363 Spring Mill Road,,Indianapolis,Marion,IN,46260,US,,39.871071,-86.1612339,www.indygov.org/eGov/City/DPR,,
Municipal Gardens Park,,,1831 Lafayette Road,,Indianapolis,Marion,IN,46222,US,,39.7926593,-86.20211,www.indygov.org/eGov/City/DPR,,
Southwestway Park,,,8400 Mann Road,,Indianapolis,Marion,IN,46221,US,,39.65339,-86.240903,www.indygov.org/eGov/City/DPR,,
Glenns Valley Nature Park,,,8015 South Bluff Road,,Indianapolis,Marion,IN,46217,US,,39.645935,-86.193689,www.indygov.org/eGov/City/DPR,,
Indianapolis World Sports Park,,,1313 South Post Road,,Indianapolis,Marion,IN,46239,US,,39.7517136,-86.0066376,www.indygov.org/eGov/City/DPR,,
Pride Park And Family Center,,,1129 South Vandeman Street,,Indianapolis,Marion,IN,46203,US,,39.7515087,-86.1089921,www.indygov.org/eGov/City/DPR,,
Raymond Park - Indy Island,,,8575 East Raymond Street,,Indianapolis,Marion,IN,46239,US,,39.7381187,-86.0158754,www.indygov.org/eGov/City/DPR,,
Rhodius Park And Family Center,,,1720 West Wilkins Street,,Indianapolis,Marion,IN,46221,US,,39.7541541,-86.191199,www.indygov.org/eGov/City/DPR,,
Paul Ruster Park,,,11300 East Prospect Street,,Indianapolis,Marion,IN,46239,US,,39.759042,-85.963343,www.indygov.org/eGov/City/DPR,,
Andrew Ramsey Park,,,310 West 42nd Street,,Indianapolis,Marion,IN,46208,US,,39.8328314,-86.1649295,www.indygov.org/eGov/City/DPR,,
Arsenal Park,,,1400 East 46th Street,,Indianapolis,Marion,IN,46205,US,,39.841536,-86.136191,www.indygov.org/eGov/City/DPR,,
Dan Wakefield Park,,,6051 North Broadway Street,,Indianapolis,Marion,IN,46220,US,,39.8650431,-86.1475806,www.indygov.org/eGov/City/DPR,,
Bowman Park,,,3600 Auburn Road,,Indianapolis,Marion,IN,46224,US,,39.8203163,-86.2438516,www.indygov.org/eGov/City/DPR,,
Carson Park,,,5400 South High School Road,,Indianapolis,Marion,IN,46221,US,,39.685443,-86.2660116,www.indygov.org/eGov/City/DPR,,
Centennial And Groff Park,,,2300 Centennial,,Indianapolis,Marion,IN,46222,US,,39.7981708,-86.2130523,www.indygov.org/eGov/City/DPR,,
Clayton And Lasalle Park,,,401 South LaSalle Street,,Indianapolis,Marion,IN,46201,US,,39.7616783,-86.1094236,www.indygov.org/eGov/City/DPR,,
Grassy Creek Park,,,10510 East 30th Street,,Indianapolis,Marion,IN,46229,US,,39.8133811,-85.9789626,www.indygov.org/eGov/City/DPR,,
Haughville Park,,,500 Belleview Place,,Indianapolis,Marion,IN,46222,US,,39.7717855,-86.2029619,www.indygov.org/eGov/City/DPR,,
Riverwood Park,,,7201 Crittenden Avenue,,Indianapolis,Marion,IN,46240,US,,39.886319,-86.126794,www.indygov.org/eGov/City/DPR,,
Washington Park And Family Center,,,3130 East 30th Street,,Indianapolis,Marion,IN,46218,US,,39.8107904,-86.1129077,www.indygov.org/eGov/City/DPR,,
Wes Montgomery Spray Park,,,3501 North Hawthorne Lane,,Indianapolis,Marion,IN,46218,US,,39.82019,-86.0784648,www.indygov.org/eGov/City/DPR,,
Martin Luther King Park,,,1701 Broadway Street,,Indianapolis,Marion,IN,46202,US,,39.7934674,-86.1459256,www.indygov.org/eGov/City/DPR,,
Willard Park And Pool,,,1901 East Washington,,Indianapolis,Marion,IN,46201,US,,39.7667799,-86.127458,www.indygov.org/eGov/City/DPR,,
Gustafson Park,,,3110 Moller Road,,Indianapolis,Marion,IN,46224,US,,39.810263,-86.257121,www.indygov.org/eGov/City/DPR,,
James Garfield - Indianapolis Public School #31,,,307 Lincoln,,Indianapolis,Marion,IN,46225,US,,39.7449741,-86.1524417,www.indygov.org/eGov/City/DPR,,
Bertha Ross Park,,,3700 North Clifton Street,,Indianapolis,Marion,IN,46208,US,,39.8184509,-86.1805221,www.indygov.org/eGov/City/DPR,,
Stout Field Park,,,3820 West Bradbury Road,,Indianapolis,Marion,IN,46241,US,,39.7322809,-86.2264894,www.indygov.org/eGov/City/DPR,,
Bel-Aire Park,,,2915 South Tibbs Avenue,,Indianapolis,Marion,IN,46208,US,,39.7223671,-86.216759,www.indygov.org/eGov/City/DPR,,
Jake Greene Park,,,1700 North Franklin Road,,Indianapolis,Marion,IN,46219,US,,39.790334,-86.026845,www.indygov.org/eGov/City/DPR,,
Tarkington Park,,,45 West 40th Street,,Indianapolis,Marion,IN,46219,US,,39.827414,-86.158049,www.indygov.org/eGov/City/DPR,,
Wildwood Park,,,8100 Southeastern Avenue,,Indianapolis,Marion,IN,46239,US,,39.715202,-86.027283,www.indygov.org/eGov/City/DPR,,
Brightwoo Library,,,2435 North Sherman Drive,,Indianapolis,Marion,IN,46218,US,,39.8031415,-86.1012926,www.indygov.org/eGov/City/DPR,,
East 38Th Street Library,,,5420 East 38th Street,,Indianapolis,Marion,IN,46218,US,,39.8257366,-86.0764752,www.indygov.org/eGov/City/DPR,,
North United Methodist Church,,,3808 North Meridian Street,,Indianapolis,Marion,IN,46208,US,,39.8254194,-86.1577684,www.northchurchindy.com,,
Northwood Christian Church,,Mon-Thurs 10am-3pm,4550 CENTRAL AVENUE,,INDIANAPOLIS,MARION,IN,46205,US,,39.8390699,-86.1505335,www.indyncc.org,317-283-1352,
Old Bethel United Methodist Church,"A nonprofit faith-based agency providing charitable outreach, including a food pantry.",Tues 9am-6pm; Thurs 9am-4pm; Sat 9am-1pm,8032 EAST 21ST STREET,,INDIANAPOLIS,MARION,IN,46219,US,,39.7959886,-86.0267097,www.oldbethel.org,317-354-8858,
Billie's Food Pantry,,,1754 West Morris Street,,Indianapolis,Marion,IN,46222,US,,39.7512763,-86.1918823,,,
Community Outreach Ministry Eastside,"A network of ten churches supporting the needs of persons and families residing in Warren Township in Marion County, and in Sugar Creek Township and Buck Creek Township in Hancock County.",Vary,116 SOUTH MUESSING STREET,,INDIANAPOLIS,MARION,IN,46229,US,,39.7751348,-85.957405,,317-891-5179,
Garfield Park Baptist Church,,,1061 East Southern Avenue,,Indianapolis,Marion,IN,46203,US,,39.7297119,-86.1399767,www.gpbcindy.org,,
Shepherd Community Center,A Christian-based community center serving the near east side of Indianapolis.,Mon-Fri 8am-5pm,4107 EAST WASHINGTON STREET,,INDIANAPOLIS,MARION,IN,46201,US,,39.767767,-86.097391,www.shepherdcommunity.org,317-375-0203,
Southeastern Church Of Christ,,,6500 Southeastern Avenue,,Indianapolis,Marion,IN,46203,US,,39.7305061,-86.0541553,www.southeastern.org,,
Saint John's Missionary Baptist Church,,Mon-Thurs 9am-4pm,1701 DOCTOR ANDREW J BROWN AVENUE,,INDIANAPOLIS,MARION,IN,46202,US,,39.7906054,-86.1348674,www.saintjohnsindy.net,317-636-5775,Church Office
Jr Dalton,,,3326 West 10th Street,,Indianapolis,Marion,IN,46222,US,,39.7808752,-86.2142687,www.daltonsfoodpantry.com,,
Saint Simon The Apostle Catholic Church,,,8155 Oaklandon Road,,Indianapolis,Marion,IN,46236,US,,39.9050374,-85.954963,,,
SAINT SIMON THE APOSTLE SCHOOL,,,8155 Oaklandon Road,,Indianapolis,Marion,IN,46236,US,,39.9050374,-85.954963,www.saintsimon.org,,
Glory Point,,,2809 East 56th Street,,Indianapolis,Marion,IN,46220,US,,39.8547687,-86.1169291,www.glorypointministries.org,,
Mount Carmel Church,,,9610 EAST 42ND STREET,,INDIANAPOLIS,MARION,IN,46235,US,,39.8343727,-85.9988269,www.mtcarmelindy.org,,
Society Of Saint Vincent De Paul - Indianapolis,,,3001 EAST 30TH STREET,,INDIANAPOLIS,MARION,IN,46218,US,,39.8102419,-86.1142636,www.svdpindy.org,,
Saint Vincent De Paul Distribution Center,,,1201 EAST MARYLAND STREET,,INDIANAPOLIS,MARION,IN,46201,US,Located east of Shelby on Maryland Street.,39.7644741,-86.1374629,www.svdpindy.org,,
Saint Vincent De Paul Boulevard Place Food Pantry,,,4202 BOULEVARD PLACE,,INDIANAPOLIS,MARION,IN,46208,US,,39.832361,-86.1643466,www.svdpindy.org,,
Saint Vincent De Paul Mission 27 Resale,,,132 Leota Street,,Indianapolis,Marion,IN,46202,US,,39.7644444,-86.1375385,www.mission27resale.org/,,
First Baptist Church Of Indianapolis,,,8600 North College Avenue,,Indianapolis,Marion,IN,46240,US,,39.9133292,-86.1471144,www.fbcindy.org,,
Anna's House,,Tues-Thurs 9am-2pm,303 NORTH ELDER AVENUE,,INDIANAPOLIS,MARION,IN,46222,US,,39.7716859,-86.1934911,www.annashousemsc.org,317-631-5504,Administrative
Trinity Christian Methodist Episcopal Church,,,2253 Dr. Andrew J. Brown Avenue,,Indianapolis,Marion,IN,46205,US,,39.7990148,-86.135243,www.trinitycme.org,,
Saint Timothy Episcopal Church,,,2601 THOMPSON ROAD,,INDIANAPOLIS,MARION,IN,46227,US,,39.6930293,-86.1171571,www.sttimothy.indydio.org,317-784-6925,
Life Church at Eagle Creek,,,5901 LAFAYETTE ROAD,,INDIANAPOLIS,MARION,IN,46254,US,,39.8606988,-86.2698987,www.eaglecreekag.org,,
Tabernacle Presbyterian Church,A church with worship services and community outreach.,Mon-Thurs 8:30am-4:30pm; Fri 8:30am-3pm,418 EAST 34TH STREET,,INDIANAPOLIS,MARION,IN,46205,US,,39.81803,-86.150365,www.tabpres.org,317-923-5458,
Ritter Avenue Free Methodist Church,,Mon 5:30pm-7:30pm,1645 NORTH RITTER AVENUE,,INDIANAPOLIS,MARION,IN,46218,US,,39.7899943,-86.0734556,www.ritterchurch.org,317-359-2796,
The Church of Lord Jesus Christ,Provides food to people in need.,Vary,1469 KAPPES STREET,,INDIANAPOLIS,MARION,IN,46221,US,,39.745721,-86.1941068,,,
Saint Christopher Catholic Church,,Mon-Fri 8am-4pm,5301 WEST 16TH STREET,,INDIANAPOLIS,MARION,IN,46224,US,,39.7864284,-86.2511223,www.saintchristopherparish.org,317-241-6314,x 2
"Church of the Living Water, The",,Monthly 3rd Sun 1pm-3pm,133 SOUTH POST ROAD,,INDIANAPOLIS,MARION,IN,46219,US,,39.770022,-86.008365,www.churchofthelivingwaterindy.com/,317-531-1457,
